id,name,type,city,district,neighborhood,address,latitude,longitude,services,opening_hours,is_open_24h,contact,email,source_category,metadata
DIA0001,Centre Rénal Nkoa,Dialyse,Yaoundé,Yaoundé II,Nlongkak,,3.779823,11.515455,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 650 140 896,rénalnkoa@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""3"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0002,Centre de Dialyse Saint-Cécile,Dialyse,Douala,Douala V,Bali,,4.065117,9.734426,"[""hemodialyse"", ""prise_en_charge_minsante""]",7j/7 — 06h00–22h00,false,+237 677 121 725,cécile@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""11"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0003,Dialyse Lumière,Dialyse,Douala,Douala II,Bonapriso,,3.990417,9.720575,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 233 785 017,lumière@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""6"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0004,Centre de Dialyse de Étoa-Meki,Dialyse,Yaoundé,Yaoundé II,Nsam,,3.789256,11.556651,"[""hemodialyse"", ""prise_en_charge_cnps""]",Lun–Ven 07h00–19h00,false,+237 691 626 972,étoa-meki@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""16"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0005,Centre de Dialyse de Briqueterie,Dialyse,Yaoundé,Yaoundé III,Briqueterie,,3.933926,11.495180,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""prise_en_charge_minsante""]",7j/7 — 06h00–22h00,false,+237 678 070 395,briqueterie@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""19"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0006,Centre de Dialyse Saint-Damien,Dialyse,Yaoundé,Yaoundé IV,Etoudi,,3.834348,11.412421,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps""]",7j/7 — 06h00–22h00,false,+237 695 391 120,damien@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""18"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0007,Centre de Dialyse de New Bell,Dialyse,Douala,Douala I,Cité des Palmiers,,4.046565,9.659589,"[""hemodialyse""]",Lun–Sam 06h00–20h00,false,+237 650 201 060,newbell@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""2"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0008,Centre de Dialyse Saint-Pierre,Dialyse,Yaoundé,Yaoundé III,Essos,,3.886795,11.483688,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps""]",7j/7 — 07h00–21h00,false,+237 651 341 054,pierre@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""11"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0009,Centre de Dialyse de PK14,Dialyse,Douala,Douala VI,Bonanjo,,4.116631,9.721838,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps""]",7j/7 — 07h00–21h00,false,+237 243 050 674,pk14@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""12"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0010,Centre Rénal Fouda,Dialyse,Yaoundé,Yaoundé II,Olembe,,3.751833,11.537414,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 679 860 938,rénalfouda@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""9"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
