id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,analyses_courantes,bilan_complet,bacteriologie,serologie,pcr_covid_paludisme,prelevement_domicile,resultat_en_ligne,horaires
LAB0001,Laboratoire de Bangue,Douala,Douala I,Cité des Palmiers,4.085134,9.748724,+237 697 181 731,bangue@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
LAB0002,Laboratoire Médical de Koumassi,Douala,Douala III,Youpwé,4.044432,9.737809,+237 699 507 218,médicalkoumass@gmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 08h30–18h30
LAB0003,Laboratoire de Biyem-Assi,Yaoundé,Yaoundé V,Biyem-Assi,3.813169,11.401119,+237 233 487 850,biyem-assi@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Oui,Lun–Sam 08h30–18h30
LAB0004,Laboratoire Médical de PK10,Douala,Douala V,Sodiko,4.102956,9.716127,+237 677 654 328,médicalpk10@hotmail.com,Oui,Non,Non,Non,Oui,Non,Oui,Lun–Sam 07h30–19h00
LAB0005,Laboratoire Saint-Jean,Douala,Douala IV,Logbessou,4.125536,9.677716,+237 222 035 837,jean@gmail.com,Oui,Non,Oui,Oui,Oui,Non,Oui,Lun–Ven 07h30–17h30
LAB0006,Laboratoire Manga,Yaoundé,Yaoundé VI,Odza,3.8224,11.438526,+237 653 880 950,manga@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Oui,Lun–Ven 08h00–18h00
LAB0007,Laboratoire de Ndog-Bong,Douala,Douala I,Ndog-Bong,4.122714,9.704274,+237 679 482 436,ndog-bong@gmail.com,Oui,Non,Non,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
LAB0008,Laboratoire Médical de Logbessou,Douala,Douala III,Logbessou,4.075764,9.691887,+237 233 265 698,médicallogbess@gmail.com,Oui,Oui,Oui,Oui,Non,Oui,Oui,Lun–Sam 08h00–17h00
LAB0009,Laboratoire Saint-Michel,Yaoundé,Yaoundé V,Bastos,3.805807,11.40986,+237 679 104 355,michel@labo.cm,Oui,Non,Oui,Non,Oui,Non,Oui,Lun–Ven 08h00–18h00
LAB0010,Laboratoire Vie,Yaoundé,Yaoundé VI,Mendong,3.774259,11.52275,+237 652 712 003,vie@labo.cm,Oui,Non,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
LAB0011,Laboratoire Nkeng,Yaoundé,Yaoundé VII,Santa Barbara,3.811141,11.589688,+237 690 221 491,nkeng@labo.cm,Oui,Oui,Non,Oui,Oui,Oui,Non,Lun–Ven 07h30–17h30
LAB0012,Laboratoire Owona,Douala,Douala VI,Cité des Palmiers,4.048416,9.771908,+237 222 982 041,owona@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Lun–Dim 08h00–18h00
LAB0013,Laboratoire Saint-Gabriel,Yaoundé,Yaoundé VI,Mvog-Mbi,3.778143,11.575649,+237 651 125 409,gabriel@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Non,Lun–Sam 08h30–18h30
LAB0014,Laboratoire Feudjio,Yaoundé,Yaoundé V,Mendong,3.913994,11.432213,+237 650 422 952,feudjio@hotmail.com,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
