id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,consultation_generale,chirurgie_oculaire,correction_visuelle,vente_lunettes,traitement_cataracte,traitement_glaucome,laser_vision,horaires
OPH0001,Ophtalmologie Alliance,Yaoundé,Yaoundé VI,Etoudi,3.791275,11.459117,+237 677 145 000,ophtalmologiea@gmail.com,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 08h00–17h00
OPH0002,Clinique Ophtalmologique de PK8,Douala,Douala IV,PK8,4.008615,9.689444,+237 679 457 937,pk8@gmail.com,Oui,Non,Non,Oui,Oui,Oui,Non,Lun–Ven 07h30–17h30
OPH0003,Clinique Ophtalmologique de Étoa-Meki,Yaoundé,Yaoundé VII,Étoa-Meki,3.934848,11.497522,+237 651 572 534,étoa-meki@gmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Dim 08h00–18h00
OPH0004,Cabinet Ophtalmologique Mbarga,Yaoundé,Yaoundé VI,Ekounou,3.915351,11.489102,+237 650 202 865,mbarga@hotmail.com,Oui,Non,Oui,Non,Non,Non,Non,Lun–Sam 07h00–20h00
OPH0005,Clinique Ophtalmologique de Ndog-Passi III,Douala,Douala I,Ndog-Passi III,3.984647,9.714386,+237 654 859 495,ndog-passiiii@hotmail.com,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Dim 08h00–18h00
OPH0006,Ophtalmologie Providence,Yaoundé,Yaoundé VII,Nkomo,3.939628,11.531482,+237 693 362 522,ophtalmologiep@hotmail.com,Oui,Non,Oui,Non,Oui,Oui,Non,Lun–Ven 07h30–17h30
OPH0007,Centre Ophtalmologique Saint-Michel,Douala,Douala VI,Ndogpassi,3.990315,9.75777,+237 699 746 942,michel@ophta.cm,Oui,Oui,Non,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
OPH0008,Centre de la Vision Ateba,Yaoundé,Yaoundé II,Mimboman,3.848455,11.539753,+237 242 075 909,visionateba@gmail.com,Oui,Non,Oui,Non,Non,Oui,Non,Lun–Ven 07h30–17h30
OPH0009,Clinique des Yeux de PK8,Douala,Douala III,PK12,4.011633,9.783741,+237 242 770 571,desyeuxpk8@hotmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 08h30–18h30
OPH0010,Cabinet Ophtalmologique Nkoa,Yaoundé,Yaoundé I,Biyem-Assi,3.829768,11.567457,+237 696 033 399,nkoa@ophta.cm,Oui,Oui,Oui,Oui,Non,Oui,Non,7j/7 — 08h00–20h00
OPH0011,Clinique Ophtalmologique de Ndogbong,Douala,Douala V,Ndogbong,4.061308,9.637627,+237 693 613 306,ndogbong@gmail.com,Oui,Oui,Non,Oui,Non,Oui,Non,7j/7 — 08h00–20h00
OPH0012,Clinique des Yeux de Bali,Douala,Douala II,Bali,4.127827,9.714472,+237 677 129 642,desyeuxbali@hotmail.com,Oui,Non,Non,Oui,Non,Non,Non,7j/7 — 08h00–20h00
OPH0013,Centre Ophtalmologique Saint-Bernadette,Douala,Douala IV,Sodiko,4.002248,9.728175,+237 692 272 219,bernadette@ophta.cm,Oui,Non,Non,Oui,Non,Oui,Non,Lun–Sam 08h00–17h00
OPH0014,Clinique des Yeux de Boko,Douala,Douala IV,Deido,4.059473,9.719113,+237 699 475 513,desyeuxboko@ophta.cm,Oui,Oui,Non,Oui,Oui,Oui,Non,Lun–Sam 07h30–19h00
OPH0015,Centre Ophtalmologique Saint-Élisabeth,Douala,Douala I,Bepanda,4.023289,9.685506,+237 653 330 705,élisabeth@ophta.cm,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 07h00–20h00
OPH0016,Clinique Ophtalmologique de Madagascar,Yaoundé,Yaoundé I,Simbock,3.871573,11.555212,+237 690 658 835,madagascar@hotmail.com,Oui,Non,Oui,Non,Non,Oui,Non,Lun–Sam 07h00–20h00
OPH0017,Clinique des Yeux de Cité des Palmiers,Douala,Douala III,Soboum,4.102339,9.721614,+237 692 396 651,desyeuxcitédes@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Non,Oui,7j/7 — 08h00–20h00
OPH0018,Clinique Ophtalmologique de Nkongmondo,Douala,Douala V,Nkongmondo,4.039304,9.758039,+237 242 786 389,nkongmondo@hotmail.com,Oui,Non,Oui,Non,Oui,Oui,Non,Lun–Sam 07h00–20h00
OPH0019,Clinique des Yeux de Ekounou,Yaoundé,Yaoundé VI,Ahala,3.794262,11.565759,+237 692 230 888,desyeuxekounou@yahoo.fr,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
OPH0020,Centre de la Vision Mbarga,Yaoundé,Yaoundé VI,Nkomo,3.826021,11.588872,+237 653 880 858,visionmbarga@gmail.com,Oui,Non,Oui,Oui,Oui,Non,Non,7j/7 — 08h00–20h00
OPH0021,Cabinet Ophtalmologique Bello,Yaoundé,Yaoundé VII,Biteng,3.765341,11.558073,+237 695 775 542,bello@ophta.cm,Oui,Non,Oui,Non,Non,Oui,Non,Lun–Sam 07h00–20h00
OPH0022,Clinique Ophtalmologique de Nlongkak,Yaoundé,Yaoundé III,Nlongkak,3.889014,11.549193,+237 695 698 098,nlongkak@yahoo.fr,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 08h00–17h00
