id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,agree_minsante,phytotherapie,acupuncture,massage_therapeutique,traitement_paludisme,traitement_diabete,traitement_hypertension,plante_principale,horaires
TRD0001,Cabinet Traditionnel Belinga,Douala,Douala VI,Koumassi,4.028151,9.689673,+237 699 831 117,traditionnelbe@gmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Gingembre,Lun–Ven 07h30–17h30
TRD0002,Centre Traditionnel Michel,Yaoundé,Yaoundé I,Madagascar,3.827068,11.505954,+237 233 494 020,traditionnelmi@sante.cm,Oui,Oui,Oui,Non,Oui,Oui,Oui,Kinkeliba,Lun–Sam 07h30–19h00
TRD0003,Centre de Médecine Traditionnelle de Biyem-Assi,Yaoundé,Yaoundé III,Mvog-Atangana,3.952832,11.476062,+237 696 448 780,traditionnelbi@gmail.com,Non,Oui,Non,Oui,Oui,Non,Oui,Gingembre,Lun–Sam 08h30–18h30
TRD0004,Centre de Phytothérapie de Nkongmondo,Douala,Douala III,Japoma,3.989133,9.669289,+237 679 080 165,phytothérapien@sante.cm,Oui,Oui,Oui,Oui,Oui,Non,Oui,Hibiscus,Lun–Sam 07h00–20h00
TRD0005,Centre de Médecine Traditionnelle de Carrière,Yaoundé,Yaoundé I,Carrière,3.905223,11.439079,+237 653 322 918,traditionnelca@hotmail.com,Non,Oui,Non,Non,Oui,Oui,Oui,Gingembre,Lun–Sam 07h00–20h00
TRD0006,Centre de Médecine Traditionnelle de PK12,Douala,Douala IV,Akwa,4.039247,9.68639,+237 690 370 077,traditionnelpk@yahoo.fr,Non,Oui,Non,Non,Oui,Non,Non,Papayer,Lun–Sam 08h00–17h00
TRD0007,Médecine Naturelle Mbassi,Douala,Douala VI,Bali,4.022214,9.704613,+237 655 602 998,naturelmbassi@gmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Neem,Lun–Sam 08h30–18h30
TRD0008,Centre de Médecine Traditionnelle de Mvog-Atangana,Yaoundé,Yaoundé VII,Mvog-Atangana,3.836363,11.525576,+237 694 453 463,traditionnelmv@gmail.com,Oui,Oui,Non,Non,Oui,Oui,Oui,Aloe Vera,Lun–Sam 07h00–20h00
TRD0009,Centre de Médecine Traditionnelle de Logbessou,Douala,Douala V,PK17,4.00159,9.677772,+237 690 319 428,traditionnello@sante.cm,Non,Oui,Non,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Ven 07h30–17h30
TRD0010,Centre de Médecine Traditionnelle de Bangue,Douala,Douala II,Makepe,3.981043,9.763887,+237 651 705 060,traditionnelba@sante.cm,Non,Oui,Oui,Oui,Non,Oui,Oui,Neem,Lun–Sam 07h00–20h00
TRD0011,Centre de Médecine Traditionnelle de Nkoabang,Yaoundé,Yaoundé IV,Nkoabang,3.887077,11.473712,+237 653 409 818,traditionnelnk@yahoo.fr,Oui,Oui,Non,Non,Non,Oui,Oui,Aloe Vera,Lun–Dim 08h00–18h00
TRD0012,Centre de Médecine Traditionnelle de Soboum,Douala,Douala IV,Ndokoti,3.969771,9.730984,+237 699 168 331,traditionnelso@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h00–20h00
TRD0013,Cabinet Traditionnel Biyiti,Yaoundé,Yaoundé IV,Mvog-Ada,3.856236,11.415016,+237 243 444 186,traditionnelbi@sante.cm,Oui,Oui,Oui,Non,Oui,Oui,Oui,Neem,Lun–Dim 08h00–18h00
TRD0014,Centre de Phytothérapie de Bonanjo,Douala,Douala II,Mboppi,4.007586,9.750722,+237 654 805 652,phytothérapieb@gmail.com,Non,Oui,Non,Non,Non,Oui,Oui,Aloe Vera,Lun–Sam 08h30–18h30
TRD0015,Centre de Médecine Traditionnelle de Mimboman,Yaoundé,Yaoundé III,Mimboman,3.843448,11.470002,+237 696 446 348,traditionnelmi@hotmail.com,Oui,Oui,Non,Non,Oui,Oui,Non,Aloe Vera,Lun–Sam 07h30–19h00
TRD0016,Médecine Naturelle Simo,Yaoundé,Yaoundé V,Nkol-Eton,3.827555,11.580686,+237 678 406 818,naturelsimo@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Kinkeliba,Lun–Sam 08h30–18h30
TRD0017,Médecine Naturelle Fotso,Yaoundé,Yaoundé I,Biyem-Assi,3.876431,11.517205,+237 652 152 148,naturelfotso@yahoo.fr,Oui,Oui,Non,Oui,Non,Oui,Oui,Kinkeliba,Lun–Ven 08h00–18h00
TRD0018,Centre de Médecine Traditionnelle de Ngoa-Ekélé,Yaoundé,Yaoundé III,Mvog-Beti,3.813112,11.41865,+237 698 022 699,traditionnelng@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h30–19h00
TRD0019,Médecine Naturelle Moussa,Yaoundé,Yaoundé I,Carrière,3.921085,11.499696,+237 679 400 568,naturelmoussa@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Hibiscus,Lun–Sam 07h30–19h00
